,classifier,feature count,fit_time_mean,fit_time_std,score_time_mean,score_time_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
39,ExtraTrees,42,11.707000255584717,0.05464552817877164,4.5433276176452635,0.04897646086174292,0.9910323777427962,0.000517353665272144,0.9910467247190009,0.0005122546313956895,0.9907693024872863,0.0005325291974665078,0.990847514285776,0.0005340319446920255
40,GaussianNB,42,0.7436656475067138,0.019377600433218164,1.728212833404541,0.013274039474629152,0.9899873622597166,0.00019379582095834064,0.9898830989053774,0.00019686841547831993,0.9898418381232268,0.0001958199509594262,0.9898160255466604,0.00019766902039540664
41,GradientBoosting,42,781.695220375061,36.340714793441656,8.838220357894897,0.3944499819827192,0.9998436911070219,1.711820325610687e-05,0.9998452986540208,1.7823649406772503e-05,0.999841782427865,1.6535654831236724e-05,0.9998435316294436,1.7167118920182702e-05
42,KNeighbors,42,0.6062140464782715,0.06861607247698415,2862.502364015579,60.34915922485811,0.8732626802356089,0.0002422948680319924,0.8714936578835012,0.0002679761063772476,0.8695497161495866,0.00024903980422972687,0.867231362010058,0.00025939990417571623
43,LinearSVC,42,24.801915073394774,0.805144330573512,0.6872977256774903,0.012105533032461112,0.9823175102912594,0.024677767685637002,0.9846342430396107,0.020230493523630547,0.9824754630209442,0.024055984802376626,0.9822471686749032,0.02470727691807982
44,RadiusNeighbors,42,0.511716890335083,0.010369272245830608,1059.1710615634918,0.7050870504217326,0.34581365614999743,0.0004907077588687616,0.7999958430820528,2.183079419356554e-06,0.2694854384383072,0.00038394887435945783,0.3146078106225737,0.0003859501519573115
45,RandomForest,42,23.93770513534546,0.172586701023506,4.776566791534424,0.023988661952791042,0.9984594520689681,0.00023754825959332372,0.9984290314337916,0.00024174005091065484,0.9984142823101602,0.0002444852642585342,0.998417576344065,0.00024443383953493247
46,SGD,42,18.57132520675659,1.946170178877603,0.7004603385925293,0.011382562976621928,0.9294385443688151,0.033479557107679546,0.934166941197861,0.026071076294332366,0.9275975584581244,0.03449301754540259,0.9249626259514636,0.03933003133622012
47,SVC,42,18.509370613098145,0.029322054827253162,103.09325432777405,3.2022880594949608,0.36509914344204747,0.04251084249464042,0.5328328588593041,0.08201553228679027,0.3687177055161592,0.040994008263767,0.3073138300951141,0.04984591868386585
48,AdaBoost,49,18.327932929992677,0.07942933125450097,5.6329827308654785,0.022218684856336112,0.9928641110347426,0.012768496253848268,0.9930704681085789,0.012367843829185484,0.9926670160767269,0.013149014832080969,0.9927285815297612,0.0130382756782356
